PID,Lot Area,Lot Config,Neighborhood,Bldg Type,Year Built,Central Air,Gr Liv Area,Full Bath,Half Bath,Bedroom AbvGr,TotRms AbvGrd,Fireplaces,Fireplace Qu,Garage Cars,SalePrice
532351140,8930,Inside,Sawyer,Duplex,1978,Y,1902,2,0,4,8,0,,2,112000
532354090,11782,Inside,Sawyer,1Fam,1961,Y,1155,1,0,3,6,0,,2,148000
532376160,8450,Inside,Sawyer,1Fam,1965,Y,894,1,0,3,5,1,Gd,1,138500
532377060,9819,Inside,Sawyer,1Fam,1967,Y,900,1,0,3,5,0,,1,122000
532377100,7500,Corner,Sawyer,1Fam,1963,Y,1040,1,1,3,5,0,,1,133000
532378110,6897,Corner,Sawyer,1Fam,1962,Y,1040,1,1,3,6,0,,1,127000
532479070,15410,CulDSac,Sawyer,1Fam,1974,Y,1494,2,0,3,7,2,Fa,2,169000
533130020,10186,Inside,NoRidge,1Fam,1992,Y,1923,2,1,3,8,1,TA,2,190000
533130130,13143,Inside,NoRidge,1Fam,1993,Y,2349,2,1,4,9,1,TA,3,362500
533130160,11134,Inside,NoRidge,1Fam,1992,Y,2225,2,1,4,7,1,TA,3,285000
533205060,4835,CulDSac,Somerst,TwnhsE,2004,Y,1488,2,0,2,6,1,Gd,2,260000
533208090,3515,Inside,Somerst,TwnhsE,2004,Y,1680,2,1,2,3,0,,2,190000
533210060,3215,Inside,Somerst,TwnhsE,2004,Y,1200,2,1,2,4,0,,2,155000
533212010,3182,Inside,Somerst,TwnhsE,2004,Y,1200,2,1,2,4,0,,2,151000
533212020,2544,Inside,Somerst,Twnhs,2004,Y,1200,2,1,2,4,0,,2,149500
533212060,2544,Inside,Somerst,Twnhs,2005,Y,1236,2,1,2,4,0,,2,152000
533213030,4403,Inside,Somerst,1Fam,2009,Y,1478,2,1,2,7,1,Gd,2,222000
533221090,2117,Inside,Somerst,Twnhs,2000,Y,1573,2,1,3,5,0,,2,177500
533221110,2980,Corner,Somerst,TwnhsE,2000,Y,1512,2,1,2,5,0,,2,177000
533223020,2572,FR2,Somerst,Twnhs,1999,Y,1416,2,1,3,6,0,,2,155000
533223100,2403,FR2,Somerst,TwnhsE,2003,Y,1080,2,1,2,4,0,,2,147110
533238045,12853,Inside,Somerst,1Fam,2010,Y,1418,1,1,1,6,1,Gd,3,267916
533244030,7379,Inside,Somerst,1Fam,2000,Y,1848,2,1,3,7,1,TA,2,254000
533253060,4420,CulDSac,Greens,TwnhsE,1980,Y,788,1,0,1,3,1,TA,2,155000
533253210,3880,Inside,Greens,Twnhs,1978,Y,1226,1,0,1,4,1,TA,2,206000
533352170,13517,CulDSac,Sawyer,1Fam,1976,Y,1479,2,1,3,6,0,,2,130500
534102025,8000,Inside,Somerst,1Fam,2002,Y,1492,2,0,3,6,1,Gd,2,230000
534129040,10456,Inside,NWAmes,1Fam,1967,Y,1829,2,0,4,8,0,,2,218500
534151175,10791,Inside,NWAmes,1Fam,1993,Y,2495,2,1,4,9,1,TA,2,243500
534152050,10603,Inside,NWAmes,1Fam,1977,Y,1610,2,0,3,6,2,TA,2,205000
534152070,18837,Inside,NWAmes,1Fam,1978,Y,1891,3,0,3,7,1,TA,2,212500
534152100,10421,Inside,NWAmes,1Fam,1988,Y,1714,2,1,3,7,1,TA,2,196500
534176060,9360,Inside,NWAmes,1Fam,1972,Y,1381,1,1,3,5,1,TA,2,197500
534176230,9600,Inside,NWAmes,1Fam,1971,Y,1645,1,2,4,7,0,,2,171000
534202160,9600,Inside,NAmes,1Fam,1966,Y,1232,1,1,3,6,0,,2,142250
534251320,9790,Inside,NWAmes,1Fam,1963,Y,1328,1,1,3,6,2,Gd,2,143000
534276360,9320,Inside,NAmes,1Fam,1959,Y,1225,1,1,3,6,0,,0,128950
534401110,9900,Corner,NAmes,1Fam,1966,Y,1209,1,0,3,6,0,,2,159000
534401140,9680,Inside,NAmes,1Fam,1967,Y,1510,2,0,3,6,0,,2,178900
534403360,10600,Inside,NAmes,1Fam,1964,Y,1775,2,0,3,8,0,,2,136300
534403410,14112,Corner,NAmes,1Fam,1964,Y,1152,1,0,3,6,1,Gd,2,180500
534425310,8800,Inside,NAmes,1Fam,1963,Y,1054,1,0,3,6,0,,2,137500
534427010,13260,Inside,NAmes,Duplex,1962,Y,1728,2,0,6,10,0,,0,84900
534430080,9717,Inside,NAmes,1Fam,1950,Y,1078,1,0,2,5,0,,1,142125
534431050,9724,Inside,NAmes,1Fam,1952,Y,2461,2,0,3,7,2,Gd,2,197600
534431070,17360,Corner,NAmes,1Fam,1949,Y,1556,2,0,3,6,1,Gd,2,172500
534450180,7207,Inside,BrkSide,1Fam,1958,Y,858,1,0,2,4,0,,0,116500
534451150,5350,Inside,BrkSide,1Fam,1940,Y,1306,1,0,3,6,0,,0,76500
534475100,9920,Inside,NAmes,1Fam,1954,Y,1063,1,0,3,6,0,,1,128000
534476260,9600,Inside,NAmes,1Fam,1955,Y,1520,1,0,3,7,2,Gd,1,153000
534479320,7800,Inside,NAmes,1Fam,1954,Y,1268,1,0,2,7,1,Gd,1,132000
535101020,11380,Inside,NAmes,1Fam,1966,Y,1128,1,0,2,5,1,Gd,1,178000
535106190,11600,Corner,NAmes,Duplex,1960,Y,2274,2,0,5,12,0,,2,154300
535125010,19900,Inside,NAmes,1Fam,1970,Y,2207,2,0,3,7,1,Gd,2,180000
535126040,16492,Corner,NAmes,1Fam,1966,Y,1888,2,1,2,6,1,Gd,2,190000
535152010,8267,Corner,NAmes,Duplex,1958,Y,1604,2,0,4,8,0,,2,135000
535152050,8197,Inside,NAmes,1Fam,2003,Y,1480,2,0,3,7,0,,2,214000
535152130,8050,Inside,NAmes,1Fam,1959,Y,1143,1,0,3,6,0,,1,136000
535152150,10552,Inside,NAmes,1Fam,1959,Y,1700,1,1,4,6,1,Gd,2,165500
535152250,8400,Inside,NAmes,1Fam,1957,Y,1314,1,0,3,5,0,,1,145000
535153070,8760,Inside,NAmes,1Fam,1959,Y,1194,1,0,3,6,0,,1,148000
535154050,12160,Inside,NAmes,1Fam,1959,Y,1188,1,0,3,6,0,,2,142000
535175070,9300,Inside,NAmes,1Fam,1960,Y,1264,1,0,3,6,2,Gd,2,167500
535175180,10725,Inside,NAmes,1Fam,1959,Y,1206,1,0,3,6,0,,1,108538
535179020,10032,Inside,NAmes,1Fam,1959,Y,1580,1,1,3,6,2,Gd,2,159500
535180130,8382,Inside,NAmes,1Fam,1956,Y,1337,1,0,3,5,0,,1,108000
535302080,10950,Inside,NAmes,1Fam,1952,Y,1064,1,0,2,4,0,,1,135000
535302200,10895,Corner,NAmes,1Fam,1955,Y,972,1,0,3,5,0,,1,122500
535304060,13587,Inside,NAmes,2fmCon,1958,Y,988,1,0,2,5,0,,1,119000
535304180,7922,Inside,NAmes,1Fam,1953,Y,1057,1,0,3,5,0,,1,109000
535325400,7898,Corner,NAmes,1Fam,1920,Y,985,1,0,2,4,0,,2,105000
535327140,7200,Inside,NAmes,1Fam,1955,Y,827,1,0,2,5,1,Po,1,107500
535350030,10200,Inside,NAmes,1Fam,1954,Y,1086,1,0,3,6,0,,2,144900
535350040,5868,Inside,NAmes,1Fam,1956,Y,936,1,0,2,4,0,,1,129000
535353190,17503,Inside,NAmes,1Fam,1948,Y,1458,1,0,3,6,1,Gd,1,97500
535377090,6979,Inside,OldTown,Duplex,1980,Y,1056,0,0,0,4,0,,2,144000
535401080,9830,Corner,NAmes,1Fam,1959,Y,1287,1,0,3,7,1,Gd,2,162000
535425010,11275,Corner,NAmes,1Fam,1967,Y,2978,2,1,5,11,1,Gd,2,242000
535450210,8064,Inside,NAmes,1Fam,1948,Y,1224,1,0,3,5,0,,1,132000
535453070,7500,Inside,NAmes,1Fam,1959,Y,1246,1,1,3,6,0,,1,154000
535454070,8520,Corner,NAmes,1Fam,1952,Y,1385,2,0,4,6,0,,2,166000
535456110,7200,Corner,NAmes,1Fam,1951,Y,900,1,0,3,5,0,,2,134800
535457010,10000,Corner,NAmes,1Fam,1962,Y,1116,1,1,3,5,0,,2,160000
535457090,7635,Corner,NAmes,1Fam,1960,Y,1175,1,1,3,6,0,,2,148000
535476350,9760,Inside,NAmes,1Fam,1963,Y,1395,1,0,2,7,1,TA,2,192000
535477020,7700,Inside,NAmes,1Fam,1966,Y,1839,1,1,4,7,1,TA,2,155000
902102100,4800,Corner,OldTown,1Fam,1900,Y,1844,1,0,3,9,2,Gd,1,80400
902104060,8800,Corner,OldTown,1Fam,1910,Y,1140,1,0,3,7,0,,0,96500
902106130,4485,Inside,OldTown,1Fam,1920,Y,936,1,0,2,5,1,Gd,0,109500
902106140,8960,Inside,OldTown,1Fam,1927,Y,1028,1,0,2,5,1,Gd,2,115000
902110090,5805,Inside,OldTown,1Fam,1957,Y,1347,1,0,3,6,0,,2,143000
902125080,5790,Corner,OldTown,1Fam,1915,N,1605,2,0,3,8,0,,1,107400
902125160,4608,Corner,OldTown,1Fam,1945,Y,747,1,0,2,4,0,,1,80000
902128170,7200,Corner,OldTown,1Fam,1940,Y,804,1,0,2,4,2,Gd,1,119000
902206040,5500,Corner,OldTown,1Fam,1929,Y,1316,1,0,3,6,0,,2,130000
902206130,6900,Corner,OldTown,1Fam,1938,Y,1251,1,0,3,6,0,,1,119000
902206220,11851,Inside,OldTown,1Fam,1948,Y,1633,1,0,3,7,1,Gd,1,129000
902206240,8239,Inside,OldTown,1Fam,1920,Y,1245,1,0,3,6,0,,1,100000
902207130,9656,Inside,OldTown,1Fam,1923,N,832,1,0,2,5,1,Gd,2,12789
902207140,8520,Inside,OldTown,1Fam,1928,Y,720,1,0,2,5,0,,2,105900
902305110,9600,Corner,OldTown,1Fam,1900,N,1566,2,0,3,7,0,,1,150000
902327040,10800,Inside,OldTown,1Fam,1915,Y,1652,2,0,4,7,0,,1,139000
902329030,9000,Inside,OldTown,1Fam,1890,Y,2268,3,0,3,7,0,,2,240000
902401060,9045,Inside,OldTown,2fmCon,1910,N,2256,2,0,4,12,0,,0,76500
902402010,7407,Inside,OldTown,1Fam,1957,Y,1236,1,0,2,6,0,,2,149700
902402130,7740,Inside,OldTown,1Fam,1910,Y,1363,1,0,3,6,0,,2,125500
902402250,11340,Inside,OldTown,2fmCon,1885,Y,2290,2,0,4,11,0,,2,122500
902403070,10560,Inside,OldTown,1Fam,1922,Y,1470,1,1,2,6,0,,2,140750
903204040,5830,Corner,BrkSide,1Fam,1950,Y,1612,1,1,3,7,0,,1,128500
903206120,7793,Corner,BrkSide,1Fam,1922,N,2068,1,1,3,8,1,Gd,1,209500
903225150,5000,Inside,BrkSide,1Fam,1925,N,765,1,0,2,4,0,,1,87000
903226160,6000,Inside,BrkSide,1Fam,1939,Y,1132,1,0,2,5,0,,1,134000
903227020,6000,Inside,BrkSide,1Fam,1940,Y,1196,1,1,3,6,2,Gd,2,128000
903227150,6360,Corner,BrkSide,1Fam,1942,Y,1453,1,1,3,7,2,Fa,1,132000
903228150,6000,Inside,BrkSide,1Fam,1948,Y,1416,1,1,3,6,0,,1,139900
903232190,6240,Inside,BrkSide,1Fam,1936,Y,1040,1,0,2,5,0,,2,123900
903233120,6240,Inside,BrkSide,1Fam,1930,Y,1536,2,0,4,7,1,Gd,2,138400
903234050,6120,Inside,OldTown,1Fam,1923,Y,1068,1,0,2,5,1,Gd,1,109500
903425110,10300,Inside,OldTown,1Fam,1921,Y,1710,2,0,3,9,0,,2,140000
903426180,8094,Inside,OldTown,1Fam,1915,Y,1962,1,1,4,9,1,TA,2,149500
903426200,12900,Inside,OldTown,1Fam,1912,Y,1560,1,1,3,7,0,,0,159900
903430080,3068,Inside,OldTown,1Fam,1920,Y,1324,1,0,3,6,0,,1,122000
903450110,8472,Corner,IDOTRR,Duplex,1963,N,816,1,0,2,5,0,,2,110000
903454060,5600,Inside,IDOTRR,2fmCon,1930,N,1092,2,0,3,7,0,,0,55000
903476030,7630,Inside,OldTown,2fmCon,1900,Y,1812,2,0,4,8,1,Po,2,140000
904100140,24090,Inside,ClearCr,1Fam,1940,Y,2403,2,0,4,10,2,TA,1,244400
904101110,15263,Inside,ClearCr,1Fam,1959,Y,1675,2,0,3,8,2,Gd,1,173000
904300150,10632,Inside,ClearCr,1Fam,1917,N,1224,1,1,3,6,0,,1,107500
904302260,9900,Inside,SWISU,2fmCon,1915,N,1392,1,0,3,6,0,,0,100000
904350045,6001,Inside,SWISU,1Fam,1940,N,919,1,0,3,5,0,,1,95000
904351040,6449,Inside,SWISU,1Fam,1907,N,1884,1,1,4,7,0,,0,93369
904352190,6048,Corner,SWISU,2fmCon,1910,Y,1680,2,0,2,7,1,Gd,2,114900
905101100,6342,Inside,Sawyer,1Fam,1875,N,1020,1,0,2,6,0,,0,94000
905101300,10773,Inside,Sawyer,Duplex,1967,N,1832,2,0,4,8,0,,0,136000
905101310,10778,Inside,Sawyer,Duplex,1968,N,1768,2,0,4,8,0,,0,136500
905102060,11625,Inside,Sawyer,2fmCon,1965,Y,1039,1,1,3,6,0,,2,131500
905103060,11341,Inside,Sawyer,1Fam,1957,Y,1392,1,1,3,5,1,Gd,2,121500
905104210,8521,FR2,Sawyer,1Fam,1967,Y,912,1,0,3,5,1,Fa,1,125000
905105070,8246,Inside,Sawyer,1Fam,1968,Y,1060,1,0,3,6,1,TA,1,154000
905105200,7800,Inside,Sawyer,1Fam,1966,Y,892,1,0,3,5,0,,1,137900
905106140,9364,Corner,Sawyer,1Fam,1969,Y,1352,1,1,4,7,0,,1,158000
905106170,7832,Inside,Sawyer,1Fam,1968,Y,864,1,0,2,4,0,,1,137250
905107110,7424,Inside,Sawyer,Duplex,1978,Y,1373,1,0,3,5,2,TA,2,160250
905107250,11227,Inside,Sawyer,1Fam,1968,Y,1440,1,1,4,7,2,TA,2,163000
905107320,11616,CulDSac,Sawyer,1Fam,1978,Y,1386,2,1,3,6,1,TA,2,158900
905109130,14000,Inside,ClearCr,1Fam,1996,Y,2260,2,1,3,7,0,,2,328000
905109170,20062,Inside,ClearCr,1Fam,1977,Y,1483,1,1,1,4,2,TA,2,270000
905201030,9259,Corner,Sawyer,1Fam,1927,N,756,1,0,2,4,0,,2,85000
905202090,9600,Inside,Sawyer,1Fam,1950,Y,1067,2,0,2,4,0,,2,128000
905325030,23595,Inside,ClearCr,1Fam,1979,Y,1524,0,1,0,4,1,TA,2,260000
905352140,17082,CulDSac,ClearCr,1Fam,1978,Y,1981,2,1,4,8,1,TA,2,230000
905378040,18600,Inside,Edwards,1Fam,1938,Y,1610,2,0,4,8,1,Gd,1,124000
905426060,10625,Corner,Edwards,1Fam,1920,N,835,1,0,2,5,0,,1,83000
905426200,11479,Inside,Edwards,1Fam,1950,Y,1074,1,0,3,6,1,TA,1,144500
905451320,9571,Inside,Edwards,1Fam,1956,Y,1144,1,0,3,6,0,,1,129000
905452110,9350,Inside,Edwards,1Fam,1947,Y,1531,1,0,3,8,1,TA,1,127000
905452160,9525,Inside,Edwards,1Fam,1954,Y,1172,1,0,3,5,0,,1,128000
905453040,10420,Corner,Edwards,1Fam,2009,Y,1212,2,0,3,6,0,,2,186000
905453080,17485,Inside,Edwards,1Fam,2009,Y,1508,1,0,1,5,2,TA,2,308030
905475510,11200,CulDSac,Edwards,1Fam,1964,Y,1298,2,0,3,5,0,,2,114000
905478190,11100,Inside,Edwards,1Fam,1946,Y,930,1,0,2,6,0,,1,84900
906201030,9206,Inside,SawyerW,1Fam,1985,Y,1732,2,1,3,7,1,TA,2,178000
906201120,11980,Inside,SawyerW,1Fam,1987,Y,1433,1,1,1,4,2,TA,2,270000
906204230,12361,CulDSac,SawyerW,1Fam,1993,Y,1802,2,1,3,8,1,Gd,4,218000
906223090,9938,Inside,SawyerW,1Fam,1993,Y,1949,2,1,3,8,1,TA,2,236000
906225210,9069,Inside,SawyerW,1Fam,1992,Y,996,1,0,2,5,0,,2,147000
906378100,10475,Corner,CollgCr,1Fam,2008,Y,1694,2,0,3,7,0,,3,245350
906380190,6762,Inside,CollgCr,1Fam,2006,Y,1208,2,0,2,6,0,,2,206000
906385010,10402,Corner,CollgCr,1Fam,2009,Y,1226,2,0,3,6,0,,3,198900
906385020,7360,Inside,CollgCr,1Fam,2010,Y,1222,2,0,2,6,0,,2,187000
906402200,12376,Corner,SawyerW,1Fam,1990,Y,3222,3,0,5,11,2,TA,3,320000
906425045,14235,Inside,SawyerW,1Fam,1900,Y,1445,2,0,3,6,0,,2,138500
906477110,8816,Inside,ClearCr,1Fam,1971,Y,1052,1,0,3,6,0,,2,155000
907125090,11105,Corner,CollgCr,1Fam,1996,Y,965,1,0,2,4,0,,2,159000
907180050,9337,Inside,CollgCr,1Fam,1997,Y,1692,2,1,3,8,1,TA,2,191000
907185060,8750,Inside,CollgCr,1Fam,1998,Y,1682,2,1,3,7,0,,2,200500
907200280,15240,FR2,CollgCr,1Fam,1977,Y,1026,1,1,3,5,0,,1,150000
907200290,10900,FR2,CollgCr,1Fam,1977,Y,1392,1,1,3,6,0,,1,161750
907200340,10650,Corner,CollgCr,1Fam,1976,Y,894,1,0,3,5,0,,1,128200
907203070,7480,Inside,CollgCr,1Fam,1972,Y,876,1,0,3,5,0,,2,127000
907250030,10389,Inside,CollgCr,1Fam,2003,Y,1978,2,1,3,8,1,Gd,3,318000
907252120,11423,Inside,CollgCr,1Fam,2001,Y,1601,2,0,3,6,1,TA,2,272000
907262050,9548,CulDSac,CollgCr,1Fam,2003,Y,1829,2,1,3,7,1,TA,2,237000
907280040,9375,Inside,CollgCr,1Fam,1997,Y,2098,2,1,4,9,1,TA,2,240000
907290040,12137,CulDSac,CollgCr,1Fam,1998,Y,1661,2,0,3,6,0,,2,224900
907290170,4435,Inside,CollgCr,TwnhsE,2003,Y,848,1,0,1,4,0,,2,143750
907290240,4426,Inside,CollgCr,TwnhsE,2004,Y,848,1,0,1,3,0,,2,143000
907401090,10635,FR2,CollgCr,1Fam,2003,Y,1668,2,0,3,8,1,TA,2,232000
907410080,8400,Inside,CollgCr,1Fam,2004,Y,1484,2,0,3,7,0,,2,213000
907414030,8773,FR2,CollgCr,1Fam,2004,Y,1414,2,0,3,6,0,,2,185500
908102060,8777,Inside,Edwards,1Fam,1945,N,640,1,0,2,5,0,,1,84900
908102110,8842,Corner,Edwards,1Fam,1954,Y,992,1,0,3,6,0,,1,155891
908102130,9825,Inside,Edwards,Duplex,1965,N,1664,2,0,4,8,0,,0,100000
908102170,10044,CulDSac,Edwards,1Fam,1968,Y,1196,1,0,3,6,0,,1,144000
908102300,11792,Inside,Edwards,1Fam,1948,N,1120,1,0,2,5,0,,2,64000
908103350,6305,Inside,Edwards,1Fam,1975,Y,1096,1,0,3,5,1,Fa,1,125200
908152080,7819,Inside,Edwards,1Fam,1976,Y,1117,1,0,3,6,1,TA,2,107000
908203100,6410,Inside,Edwards,1Fam,1958,Y,960,1,0,3,5,0,,0,90000
908208020,8546,Corner,Edwards,1Fam,2003,Y,1121,2,0,2,5,0,,2,140000
908225320,8741,Inside,Edwards,1Fam,1945,Y,1487,1,1,3,7,1,Gd,1,113000
908226130,12180,Inside,Edwards,2fmCon,1941,N,924,1,0,2,5,0,,1,80000
908275300,8562,Inside,Edwards,1Fam,1957,Y,1526,1,0,4,7,1,Gd,1,144500
909100080,4853,Inside,SWISU,1Fam,1924,N,1296,2,0,2,5,1,Gd,1,104000
909100110,6858,Corner,SWISU,1Fam,1915,N,1647,1,1,4,6,0,,1,128000
909101070,8212,Inside,Edwards,1Fam,1914,N,864,1,0,2,5,0,,1,58500
